name,price,type,efficiency,wattage,modular,color
Enermax REVOLUTION D.F. 2,122.99,ATX,gold,1050,Full,Black
EVGA 650 BQ,83.89,ATX,bronze,650,Semi,
EVGA SuperNOVA 1300 GT,237.99,ATX,gold,1300,Full,Black
EVGA SuperNOVA 750 GM,179.31,SFX,gold,750,Full,Black
be quiet! System Power 9 500 CM,,ATX,bronze,500,Semi,Black
Asus TUF Gaming 750G,,ATX,gold,750,Full,Black
Thermaltake Toughpower GF3 TT Premium,119.99,ATX,gold,850,Full,Black
Thermaltake Toughpower GF1 PE,,ATX,gold,650,Full,
GameMax GX Pro Rampage,159.99,ATX,platinum,1050,Full,White
Cooler Master V550 SFX GOLD,,SFX,gold,550,Full,Black
Cooler Master MWE Bronze V2,,ATX,bronze,750,false,Black
ARESGAME AGV,,ATX,bronze,500,false,Black
GameMax GX Pro Rampage,119.99,ATX,gold,850,Full,White
Silverstone DA850 Gold,179.12,ATX,gold,850,Full,Black / White
Thermaltake Toughpower GF A3 - TT Premium Edition,159.99,ATX,gold,1200,Full,Black
"FSP Group Hydro PTM X PRO,Gen5",155.26,ATX,platinum,850,Full,Black
MSI MPG A1000G,179.99,ATX,gold,1000,Full,Black
be quiet! Straight Power 12,129.9,ATX,platinum,750,Full,Black
Super Flower Leadex III Gold,119.99,ATX,gold,850,Full,Black
Corsair HX1000 Platinum,390,ATX,platinum,1000,Full,
Cooler Master MWE Bronze V2,,ATX,bronze,650,false,Black
KOLINK Classic Power,,ATX,bronze,700,false,Black / Red
Thermaltake Smart BX1 650,59.99,ATX,bronze,650,false,Black
Asus ROG LOKI,219.99,SFX,platinum,850,Full,Black / Silver
Cooler Master V SFX Gold ATX 3.0,148.99,SFX,gold,850,Full,Black
Corsair AX1200i,657.73,ATX,platinum,1200,Full,
SeaSonic S12III,63.98,ATX,bronze,500,false,Black
Corsair RM650x (2018),194.98,ATX,gold,650,Full,Black / Silver
SeaSonic PRIME PX-1300,499.99,ATX,platinum,1300,Full,Black
Thermaltake Smart BM2,,ATX,bronze,550,Semi,Black
be quiet! SFX L Power,175.43,SFX,gold,500,Full,
Asus ROG LOKI,229.99,SFX,platinum,850,Full,White / Silver
EVGA SuperNOVA 1000 G+,288.01,ATX,gold,1000,Full,Black
Silverstone FX600 Platinum,179.99,Flex ATX,,600,false,Black
Asus ROG-STRIX-850G,155.07,ATX,gold,850,Full,Black
FSP Group Hydro GE,74.98,ATX,gold,550,Full,
Asus ROG Strix,134.99,ATX,gold,750,Full,Black / Red
ADATA XPG CORE Reactor 750,97.99,ATX,gold,750,Full,Black
be quiet! SFX Power 3 450,99.49,SFX,bronze,450,false,Black
EVGA SuperNOVA 850 G5,134.99,ATX,gold,850,Full,Black / Green
Deepcool PM750D,88.25,ATX,gold,750,false,Black
ADATA XPG PYLON,150,ATX,bronze,650,false,Black
EVGA 450 BR,99.99,ATX,bronze,450,false,
Asus ROG Strix Aura Edition,208.67,ATX,gold,1000,Full,Black
SeaSonic FOCUS Plus Gold,159.99,ATX,gold,1000,Full,Black
ADATA XPG CORE Reactor 650,87.99,ATX,gold,650,Full,Black
Montech TITAN GOLD 1000W,119.99,ATX,gold,1000,Full,Black
EVGA 550 BP,65.84,ATX,bronze,550,false,Black
EVGA 650 GQ,157.99,ATX,gold,650,Semi,
SeaSonic PRIME Ultra Titanium,309.99,ATX,titanium,1000,Full,
