name,price,rpm,noise_level,color,size
Thermaltake Water 3.0 360 ARGB Sync Edition,,"500,1500",25.8,Black,360
Cooler Master MasterLiquid LC240E RGB,,"650,1800",31.5,Black,240
Fractal Design Celsius+ S24 Dynamic X2 PWM,,"500,2000",32.2,Black,240
Fractal Design Lumen S36 RGB,,"500,2000","10,33.2",Black,360
Asus TUF Gaming LC 120 ARGB,,"800,2000",,Black,120
Phanteks Glacier One 240 T30,266,"1200,3000","11.1,39.7",Gray,240
Zalman CNPS9X Performa ARGB,,"700,1800",28,Black,
Antec Symphony ARGB,,"800,1600","20,35",White,360
Corsair H75,,2000,31.4,,120
Deepcool CAPTAIN 240EX WHITE,,"500,1800","17.6,31.3",,240
Deepcool GAMMAXX GT V2,39.99,"500,1650",27.8,Black / Silver,
ARCTIC Freezer 50,64.44,"200,1800",,Black,
Mars Gaming MCPU-XT,146,"800,1600","9,26",Black,
Deepcool Castle 360 RGB V2,,"500,1800",30,Black,360
NZXT Kraken X41,,"800,2000","20,37",,140
MSI CORE FROZR L,,"500,1800","17.2,33.6",,
Jonsbo CR-1400 EVO Color Black,24.88,"800,2200","22.3,33.8",Black,
Iceberg Thermal IceSLEET G3,34.99,"600,1200",20.5,Black / Gray,
GAMDIAS CHIONE P3-360U,,"800,2000","10,31",Black,360
Cooler Master Hyper 212X Dual Fan,,2000,"9,36",,
SilentiumPC Fera 5,,"300,1800",,Black / Silver,
Jonsbo HX4170D,99,"600,3300",28.4,Black,
Xilence M906,,"500,1500","18,30.8",Black,
Deepcool GAMMAXX 400 Blue,,"900,1500","17.8,30",Blue / Silver,
Asus ROG STRIX LC 360 RGB,,"800,2500",37.6,Black,360
TEAMGROUP SIREN GD360E,124.99,"600,2200","14.3,35.6",Black,360
Alphacool Eisbaer Pro Aurora,227.91,,31.5,Black,360
Asus ROG Strix LC 240,194.98,"800,2500",37.6,Black,240
MSI MAG CORELIQUID R,,"500,2000","14.3,34.3",Black,360
Deepcool GAMMAXX C40,,"500,2000",23.9,Black / Silver,
GAMDIAS CHIONE M3,87.77,"800,2000",,White,240
Noctua NH-U12S TR4-SP3,88.32,"300,1500","18.6,22.4",,
NZXT Kraken X42 Rev 2,,"500,1800","21,38",,140
darkFlash Darkair,,"800,1600",,Black,
GAMDIAS BOREAS P1-720,79.98,"800,2000","10,31",Black,
SilentiumPC Fortis 5 ARGB,,"300,1400",,Black / Silver,
ID-COOLING ZOOMFLOW 240 XT,,"500,1500","13.8,30.5",Black,240
Silverstone Hydrogon D120 ARGB,82.66,,"0,30.5",Black / Silver,
Prolimatech PRO-SAM17,42.66,,,,
ARCTIC Liquid Freezer II 240 RGB,124.82,"200,1800",22.5,Black,240
Azza Blizzard SP 360,,"700,2200",36,Black,360
Deepcool CASTLE 280EX,,"400,1600",39.8,Black,280
Cooler Master Hyper TX3 EVO,106.03,"800,2800","17,35",,
Deepcool CASTLE 240EX,,"500,1800",32.1,Black,240
Alphacool Eisbaer LT240,113.5,"550,1700",29,Black,240
Enermax AQUAFUSION ADV,89.99,"500,2000","17,32.6",White,240
ID-COOLING AURAFLOW X,,"700,1800","18,35.2",Black,360
Alphacool Core Ocean T38,,,"0,36",Black,280
Thermaltake Floe DX RGB 360 TT Premium Edition,147.05,"500,1500","19,23.9",Black / Gray,360
Thermaltake Floe DX RGB 280 TT Premium Edition,102.93,"500,1400","19.8,26.2",Black / Gray,280
Mars Gaming ML-ONE,,"600,1800","9,26",Pink,120
GAMDIAS CHIONE M2,158,1800,,Black,240
Cooler Master MasterAir G100M RGB,52.94,"600,2400",30,Black / Multicolor,
Noctua NH-L9a,,2500,,,
Thermaltake TOUGHLIQUID ARGB,119.99,"500,2000",22.3,Black,240
Cougar FORZA 135,79.29,"500,1500",38.5,Black / Silver,
Deepcool GAMMAXX GTE,,"500,1500",27,Black / Silver,
Alphacool Core Ocean T38,78.95,,"0,34.3",Black,120
Thermaltake TOUGHLIQUID Ultra,190.99,"500,2000",33.2,Black,280
Thermaltake TOUGHLIQUID Ultra RGB,230.99,"500,2000",30.7,Black,280
Thermaltake Floe Riing RGB 280 TT Premium Edition,89.99,"500,1400","19.8,27.2",,280
Cooler Master MasterLiquid Pro 280,,"650,2200","6,30",,280
ARCTIC Freezer 33 eSports ONE (Black/White),,"200,1800",24.4,Black / White,
Scythe Mugen 5 PCGH Edition,,"300,800","4,14.5",Silver / Black,
Jonsbo CR-1000 EVO Color White,24.99,"600,1500","22,32",White,
CRYORIG M9 Plus,70.06,"600,2200",26.4,Black / Silver,
Thermalright SI-100,,2000,27.7,Gray,
Corsair H75 2018,399.99,1900,31,Black,120
Corsair H90,,1500,35,,140
Cooler Master Hyper T4,,1800,"15.1,31.6",,
ID-COOLING ZOOMFLOW 240,,"900,2000","16.3,33.5",Black,240
Enermax LIQMAXFLO 420,129.99,"500,1700",25.47,Black,420
Cooler Master MASTERLIQUID PL240 FLUX,142.12,,32,White,240
Jonsbo CR-1000,,"700,1800","20.55,37.2",White,
Evercool LGAL1156A-B715,49.99,"1000,5500",56,,
Deepcool CASTLE 240EX WHITE,,"500,1800",32.1,White / Black,240
Noctua NH-C14,,"750,1200","10.1,19.6",,
Jonsbo HX6200D,56.34,"700,1800","18.6,29.7",White,
Azza CUBE 240,79.98,"500,2000",34,Black,240
Thermalright Aqua Elite ARGB,,1550,25.6,White,240
EVGA CLC 120 CL11,,1800,32.1,,120
ID-COOLING SL360,,"500,2000",29.9,Black,360
Corsair H80i GT,,2435,37.7,,120
ENDORFY Navis F280,,"250,1800",,Black,280
Cooler Master V8 GTS,,1600,36,,
ID-COOLING SE-224-XT,,"700,1800","15.2,32.5",Black,
Deepcool GAMMAXX 400 V2,,"500,1650",,Black / Red,
Silverstone AR12 RGB,38.42,"700,2200","9,29",Silver / Black,
Dynatron R24,39.95,"1500,7000","16,47.5",,
Asus ROG RYUO 120 RGB,239,"800,2500",37,Black,120
Deepcool GAMMAXX L360 A-RGB,,"500,1800",30,White,360
RAIJINTEK JUNO PRO RBW,,"400,1800",28,Black,
ID-COOLING FROSTFLOW 240 XT SNOW,,"700,1800","15.2,35.2",White,240
Cooler Master MasterLiquid ML360 Sub-Zero EVO,,,30,Black,360
Thermalright Frost Spirit 140 V3 ARGB,,1500,25.6,White,
Thermaltake TOUGHAIR 710,84.99,"300,1400","18.5,23.9",Gray,
ID-COOLING SE-213V2,,"800,1600","16,20.2",,
Azza CUBE 360,99.99,"500,2000",34,Black,360
Jonsbo CR-3000 ARGB,49.45,"600,1500","22,32",Black / Silver,
ARCTIC Liquid Freezer II 420 RGB,,"200,1900",22.5,Black,420
Cooler Master Hyper 212X EU Version,96,"600,1700","13,28.6",,
NZXT Kraken X52 Rev 2,,"500,2000","21,36",,240
Deepcool GAMMAXX L120,,"500,1800",17.8,Black,120
Deepcool GAMMAXX 400S,,1300,14.6,Black / Silver,
Thermalright Ultra120EX REV.4,32.59,2150,28.1,Black,
Alpenföhn Dolomit Premium,114.09,"500,1600",23.5,Black,
Asus ROG STRIX LC 240 RGB,194.98,"800,2500",37.6,Black,240
be quiet! Dark Rock TF,,1400,"11.9,26.7",,
Deepcool AG620 ARGB,,"300,1850",29.4,Black / Silver,
ARCTIC Freezer 13,,"600,2000",,,
SilentiumPC Fera 3 HE1224,,"500,1600",,Black / Silver,
CRYORIG C7 Cu,90,"600,2500",30,White / Orange,
Fractal Design Celsius+ S28 Dynamic X2 PWM,,"500,1700",32.7,Black,280
Deepcool GAMMAXX 400 White,,"900,1500","17.8,30",White,
Enermax LIQTECH TR4 II 360,199.99,"500,2300","14,28",Black,360
ARCTIC Freezer 13 CO,,"600,2000",24.4,,
ID-COOLING FROSTFLOW+ 240 SNOW,,"700,1500","18,26.4",White,240
Lian Li Galahad AIO240 (2022),160.68,"800,1900",32,White / Silver,240
Jonsbo CR-3000 ARGB,49.45,"600,1500","22,32",White,
GAMDIAS BOREAS M1,39.98,"800,2600","10,32",Black / Silver,
Cooler Master MasterLiquid ML120L RGB,,"650,2000","6,30",,120
Deepcool GAMMAXX L240 A-RGB,,"500,1800",30,White,240
Aerocool P7-L240,,"600,1800","10.5,31.8",Black,240
Noua Blizzard,,2200,23.4,Silver / Black,
Cougar FORZA 85,115.41,"600,2000",34.5,Black,
Phanteks Glacier One 240MPH,,"500,2200","18,34.2",Black,240
ARCTIC Freezer 50 (w/Controller),73.84,"200,1800",,Black,
Noctua NH-U12P SE2,,"900,1300","12.6,19.8",,
Corsair H110i GTX,268.61,2000,40,,280
Deepcool CASTLE 120R,,"500,1800",32,Black,120
Dynatron K129,44.95,,0,Orange,
Alphacool Eisbaer Extreme,271.67,1000,18.8,Black,280
Thermalright Macho Rev.B,173,"300,1300","15,21",,
Akasa K32,,"600,3000","17.2,30.54",,
Thermaltake Floe Riing RGB 240 TT Premium Edition,132.38,"500,1400","19.8,24.7",,240
Jonsbo CR-1400 EVO ARGB White,,"800,2200","22.3,33.8",White,
Noctua NH-D14 SE2011,,"900,1300","12.6,19.8",,
CRYORIG H5 Universal,,"700,1300","20,24",,
SilentiumPC Fortis 3 HE1425,,"500,1400","8,22",,
Alphacool Eisbaer 360,228.06,"550,1700",29,Black,360
Phanteks Glacier One 280MPH,,"500,2200","18,39.1",Black,280
Jonsbo PISA A5,,"800,1850",36.8,White,
Intel BXRTS2011AC,49.99,"1000,3000",,,
Cooler Master Seidon 120V,,2400,"19,40",,120
ARCTIC Freezer 12,,,22.5,,
Cooler Master MasterLiquid ML240P Mirage,,2000,27,Black,240
Gigabyte AORUS LIQUID COOLER,,2500,"18,39.5",Black,240
GameMax Ice Chill 240,64.73,"800,1900",28.8,Black,240
Tempest Subzero RGB,,"800,1650",,Black / Silver,
Jonsbo HX4170D,105,"600,3300",28.4,White,
Silverstone PF360-ARGB,132.99,"600,2200","7.4,35.6",Black,360
Thermaltake Floe DX RGB 240 TT Premium Edition,184.36,"500,1500","19,23.9",Black / Gray,240
Alphacool Eisbaer Pro Aurora,189.99,,31.5,Black,280
Alpenföhn Glacier Water High Speed 240,192.79,"500,2200",36.8,White,240
Enermax AQUAFUSION ADV,54.99,"500,2000","17,32.6",White,120
CRYORIG R1 Ultimate,,"700,1300",23,,
EVGA CLC 120,,"500,2400","16,39.9",,120
Cooler Master Hyper 212 LED Turbo (Black),,"600,1600","9,31",,
Silverstone AR06,39.86,2500,"20,28.3",,
Jonsbo CR-1000 EVO Color Black,24.99,"600,1500","22,32",Black,
Thermaltake TOUGHAIR 510,41.89,"500,1200",23.6,Green,
Gigabyte AORUS LIQUID COOLER,,2300,"22.3,44.5",Black,280
Dynatron R25,37,"1000,7000","21.5,59.14",,
ID-COOLING AURAFLOW X,,"700,1800","18,35.2",White,360
Cooler Master Hyper TX3,,"800,2800","17,35",,
ARCTIC Alpine Passive,,,0,Black,
Alphacool Eisbaer 420,156.25,1100,29.4,Black / Blue,420
Thermaltake TOUGHAIR 710,91.98,"300,1400","18.5,23.9",Black,
TEAMGROUP SIREN GD240E,105.99,"600,2200","14.3,35.6",Black,240
ADATA XPG LEVANTE 360,99.9,"600,2000",34,Black,360
Asus ROG RYUO 240 RGB,196,"800,2500",37,Black,240
Alphacool Eisbaer Aurora 240,194.81,"800,2000",,Black,240
ID-COOLING SE-207-XT ADVANCED,,"700,1800","15.2,35.2",,
Cooler Master Nepton 240M,,2400,"6.5,27",,240
MSI Core Frozr XL,,"500,1800","17.2,33.6",Black / Red,
Silverstone PF240-ARGB,103.99,"600,2200","7.4,35.6",Black,240
Silverstone NT09-115X,20.11,"550,2500","18.5,32",,
Silverstone AR12-TUF,47.99,"300,2200","6.2,34.4",Black / Orange,
GAMDIAS CHIONE E2,302,1800,,Black,120
ID-COOLING IS-27i,,"800,2700","14,25",,
Deepcool Castle 240 RGB,,"500,1800","17.8,30",Black,240
Deepcool CASTLE 360EX RGB,,"500,1800",35,Black,360
ID-COOLING ZOOMFLOW 240 XT SNOW,,"500,1500","13.8,30.5",White,240
Thermalright Le Grand Macho RT,174,"300,1300","14,20",,
ARCTIC Freezer i13 X CO,,"300,2000",,Black / White,
be quiet! Shadow Rock 2,104,1600,"15.3,25.4",,
Jonsbo HX6250,,"400,1800","28,38",Black,
StarTech FAN1156PWM,22.02,"1000,3000",33,,
Deepcool GAMERSTORM CAPTAIN 240X,,"500,1800",32.1,Black,240
Zalman CNPS9X Performa,,"700,1800",28,Black,
NZXT Kraken X31,,"800,2000","18,34",,120
Deepcool GAMMAXX L240,,"500,1800",17.8,Black,240
ARCTIC Liquid Freezer II 360 RGB,,"200,1800",22.5,Black,360
Enermax LIQMAXFLO SR 360,99.99,"500,1800",23.46,Black,360
ARCTIC Freezer 50 TR,,"200,1800",23.5,Black,
Mars Gaming MCPU-XTW,148,"800,1600","9,26",White,
Thermaltake Water 3.0 Riing RGB 280,149.99,"300,1500","18.5,26.4",Black / Red,280
ID-COOLING FROSTFLOW 240 XT,,"700,1800","15.2,35.2",Black,240
PC Cooler GI-D66A,,"1000,2000","8,29.1",Black,
Vetroo darkstorm M2,,1600,26,Black,
Titan DC-155A915Z/RPW,,"1000,2600","24.8,33.4",,
Intel BXTS13X,,"800,2200","21,35",,120
EVGA ACX,,2800,42.5,,
CRYORIG H5 Ultimate,,"700,1300","19,23",,
EK EK-Nucleus AIO CR360 Vision D-RGB,,"500,2200",33.5,Black,360
Alpenföhn Dolomit Advanced,,"500,1600",23.5,Black,
MSI MAG CORELIQUID C240 EVA e-PROJECT,,"500,2000","14.3,34.3",Black,240
Thermaltake Water 3.0 Performer,,"1000,2000",20,,120
Thermaltake Water 3.0 Riing RGB 360,,"800,1500",26.4,,360
Alpenföhn Brocken 3,,"400,1050",22,Black,
RAIJINTEK EOS 240 RBW,59.99,"800,1800",28,Black,240
Silverstone VIDA 120 SLIM,111.65,"300,1800","15.9,33.9",Black,120
be quiet! Shadow Rock TF 2,,1400,"11.9,24.4",Silver / Black,
Silverstone Hydrogon D120 ARGB,,,"0,30.5",White / Silver,
Enermax LIQMAXFLO 360,119.99,"500,1800",23.46,Black,360
Thermaltake TOUGHAIR 510,59.99,"500,1200",23.6,Teal,
Thermaltake TOUGHLIQUID ARGB,124.98,"500,2000",22.3,Teal,240
Xigmatek GAIA SD1283,30,"800,1500","16,24",,
Deepcool GAMMAXX 300 R,,"900,1600","17.8,21",,
Zalman CNPS9500 AT,41.33,"1300,2650","18,27.5",,
upHere AC12RGB,,"600,1700","16.1,27.7",Black,
ID-COOLING IS-47S,,"800,3600","17,35.8",,
MSI MAG CORELIQUID B,,"500,2000","14.3,34.3",Black,240
Iceberg Thermal IceSLEET X9 Dual TR,71.99,"500,1850","0,38",Teal / Silver,
Fractal Design Celsius+ S36 Dynamic X2 PWM,,"500,2000",32.2,Black,360
NoFan CR-80EH,149.81,,0,,
Jonsbo HP-400,29.99,"800,3000","14,33",Blue / White,
Alphacool Eisbaer Pro Aurora,192.75,,31.5,Black,240
Intel BXRTS2011LC,,2200,,,120
Scythe FUMA Rev.B,,"300,1400","13,28",,
ADATA XPG LEVANTE 240,149,"600,2000",34,Black,240
MSI MAG CORELIQUID P280,,"500,1800","14.8,33.28",Black,280
Iceberg Thermal IceSLEET X6,46.99,"500,1850","0,36",Teal / Silver,
In Win Nebula NR36,143.69,"400,1800",25,Black / White,360
Alphacool Eisbaer 280,147.95,1100,29.4,Black / Blue,280
Jonsbo CR-1000 GT,,"700,1800","20.55,37.2",Black,
Zalman CNPS10X Performa,,"700,1500",27,White,
ID-COOLING SE-207-XT BLACK,,"700,1800","15.2,35.2",,
Cooler Master Hyper 412S,,"900,1300","16.1,22.5",,
Cooler Master Hyper H410R,,"600,2000",29.4,Black / Red,
Scythe Mugen 5 Black Edition,,"300,1500","4,29.75",Black,
ID-COOLING SE-903-XT,,"500,2200","14,25.8",,
ID-COOLING SE-903-SD,,2000,23.1,,
Enermax LIQMAXFLO SR 240,79.99,"500,1800",23.46,Black,240
Cougar Forza 50 Essential,32.9,"600,2000",34.5,Black / Silver,
Alphacool Eisbaer LT360,169.68,"550,1700",29,Black,360
SilenX EFZ-100HA2,22.95,2400,"8,24",,
RAIJINTEK Orcus 140 RGW,129.45,"400,1800",28,Black,140
Cooler Master Hyper 103,,"800,2200","17,30",,
Alpenföhn Brocken ECO,,"500,1500","4.6,27.3",,
Cooler Master MasterLiquid ML240 Mirror,,"650,1800","8,27",Black,240
Fractal Design Celsius S24 Blackout,,"500,2000",32.2,Black,240
Cougar AQUA,,"600,1800",35,Black,240
ARCTIC Freezer Xtreme Rev.2,,"800,1500",24.4,,
Corsair H110i GT,298.51,2100,43,,280
ARCTIC Alpine M1 - Passive,,,0,,
Rosewill PB240-RGB,,1500,26.8,Black,240
ID-COOLING IS-47K,,"600,2500","14,33",Silver / Black,
Asus TUF Gaming LC 240 RGB,,"800,2000",,Black,240
ARCTIC Freezer 11 LP,,"900,2000",,,
Silverstone NT07-115X,26.99,"1500,3600","21.9,34.7",Silver / Black,
Dynatron T318,47.95,,0,,
ID-COOLING SE-225-XT BLACK V2,,"700,1800","15.2,35.2",,
Jonsbo HX7280,,"700,1800","28,38",Black,
Antec C400,69.54,"800,1900","20.3,34.5",,
Deepcool ICE BLADE 200M,,2200,"17.8,30.1",,
Enermax ETS-T50 AXE (Black),,"800,1800","18.9,25",,
Deepcool GAMERSTORM CAPTAIN 360X WHITE,,"500,1800",32.1,White / Black,360
Thermalright Assassin King 120,,1500,25.6,Black / Silver,
Asus ROG STRIX LC II ARGB,,"800,2500",37.6,Black,120
ID-COOLING PINKFLOW 240 DIAMOND PURPLE,,"900,2000","16.3,33.5",Pink / Purple,240
ID-COOLING SE-214-XT,,"500,1500","16,26.6",,
Enermax Liqfusion 240,79.99,"500,2000","14,28",Black,240
Phanteks Glacier One 360MP,,"500,2200","18,34.2",Black / White,360
Cooler Master MasterAir MA620P,106.51,"600,1800",31,Black / Silver,
Corsair A70,,"1600,2000","26,31.5",,
Cooler Master Hyper 212 Plus,,"600,2000","13,32",,
ARCTIC Alpine M1,,750,20.5,,
ARCTIC Freezer 34 eSports DUO,,"200,2100",24.4,Green / Black,
ID-COOLING SE-234-ARGB,,"900,2000","16.2,31.5",Black,
Sapphire NITRO+ S240-A,,"405,2400","17.9,36.2",Black / Silver,240
Akasa Vegas Chroma LG,27.9,"500,1800",32.5,Black,
Thermaltake Riing Silent 12 RGB Sync Edition,81,"300,1500","13,22",Black,
be quiet! Dark Rock 2,,1300,"8.7,21.2",,
Cooler Master Hyper 412 Slim,,"500,1600","8,30",,
Deepcool CAPTAIN 120 EX,,"500,1800","17.6,31.3",,120
Cooler Master Hyper H410R White Edition,,"600,2000","6,29",,
Asus ROG RYUO III 240 ARGB WHITE EDITION,,2200,36.45,White,240
Alphacool Eisbaer 240,162.9,"550,1700",29,Black,240
Thermaltake CLP0556-B,,"1900,2300",22,,
Cougar Helor 240,124,"600,1800",37.1,Black,240
Valkyrie SYN,,"800,2150",29,White / Blue,360
Alpenföhn Glacier Water 360,,"500,1600",23.5,Black,360
Alpenföhn Glacier Water 240,,"500,1600",23.5,Black,240
Cooler Master Seidon 120M,,"600,2400","19,40",,120
ID-COOLING FROSTFLOW+ 120,,"700,1800","18,35.2",Black / White,120
ARESGAME RIVER 5,,"600,1800",26.2,Black,
ID-COOLING SE-226-XT,,"500,1500","13.8,30.5",White,
ID-COOLING DASHFLOW 360,,"900,2000","16,31.5",Black,360
Cooler Master Hyper T200,,"800,2200",31,,
GAMDIAS CHIONE P3-240U,,"800,2000","10,31",Black,240
ID-COOLING FROZN A610 BLACK,,"500,2000",29.85,Black,
ARCTIC Liquid Freezer II 280 RGB,,"200,1900",22.5,Black,280
Iceberg Thermal IceFLOE T65,,"1000,3000",31.5,Silver / Teal,
Scythe Kotetsu Mark II,88.56,"300,1200","4,24.9",,
Akasa Vegas Chroma AM,,"500,1800",32.5,Black,
Thermalright AXP90-X53,,2700,22.4,Black,
Cooler Master Hyper D92,,"800,2800","18,33",,
be quiet! Silent Loop 360,,2000,"16.1,36.9",,360
ID-COOLING SE-224-XT RGB,,"900,2000","16.2,31.5",Black / White,
Deepcool AG500,,"300,1850",29.4,Black / Silver,
Asus ROG Strix LC 120,,"800,2500",37.6,Black,120
Silverstone NT07-AM2,19.47,"1500,2500","15,25",,
ARCTIC Alpine 12 LP,,"100,2000",,Black / White,
Corsair H110,262.63,1500,35,,280
Thermalright TRUE Spirit 120M(BW) Rev.A,,"600,1300",25.4,,
Cooler Master Nepton 120XL,,2400,"6.5,27",,120
Deepcool Castle 360 RGB,,"500,1800",30,Black,360
Alpenföhn Glacier Water 360 High Speed,,"500,2200",36.8,Black,360
aigo Shadow Max,,"800,2500",29.6,Black,
MSI MAG CORELIQUID B,,"500,2000","14.3,34.3",Black,120
Valkyrie VIND SL125,,"800,2150",29,Black / Red,
Alphacool Eisbaer Aurora 280,210.35,"600,1500",,Black,280
Thermaltake TOUGHLIQUID ARGB,146,"500,2000",33.2,Black,280
ARCTIC Liquid Freezer II 280 RGB,,"200,1900",22.5,Black,280
Thermaltake Floe Riing RGB 360 TR4 Edition,249.99,"1000,2000","21.8,33",Black,360
GAMDIAS CHIONE M2,,"800,1800",,Black,240
Corsair H50,,1700,30.32,,120
Cooler Master Nepton 280L,,2000,"21,39",,280
be quiet! Shadow Rock Slim,,"400,1400","11.5,23.7",,
Gelid Solutions Slim Silence AM1,,"1200,2600","15,27.2",,
Enermax Liqmax II 120,,"500,2000","16,35",,120
ARCTIC Freezer 33 eSports Edition (Black/Red),,"200,1800",24.4,,
Deepcool Gamerstorm Captain 240 PRO,,"500,1800",30,Black,240
Deepcool GAMMAXX 400R,,"900,1500","17.8,30",Red / Silver,
CRYORIG C7G,,"600,2500",30,Black / Silver,
darkFlash Shadow PWM,,"800,2500",29.6,Black,
Thermalright AXP90-X36,,2700,22.4,Black,
EK EK-Nucleus AIO CR240 Vision D-RGB,,"500,2200",33.5,Black,240
Iceberg Thermal IceSLEET X7 Dual,59.99,"500,1850","0,38",Teal / Silver,
RAIJINTEK PALLAS 120,33.36,"200,1400",28.43,Black,
Cougar Helor 360,231.79,"600,1800",37.1,Black,360
ARCTIC Freezer 34 CO,,"200,1800",,Black / Silver,
Silverstone PF120-ARGB,,"600,2200","7.4,35.6",Black,120
Cougar FORZA 85 ESSENTIAL,54.99,"600,2000",34.5,Black,
Scythe Mugen 4,,"400,1400","5.3,28",,
Cooler Master Blizzard T2,,2200,30,,
ID-COOLING FROSTFLOW 240L-W,,"800,2000","20,38.2",,240
ARCTIC Freezer 33,,,,,
Asus TUF Gaming LC 120 RGB,,"800,2000",,Black,120
Enermax LIQMAXFLO SR 120,69.99,"500,1800",23.46,Black,120
RAIJINTEK AIDOS BLACK,36.1,"1000,2200",28.87,,
GameMax Gamma 500 ARGB,39.96,"1000,1800",26.3,Black / Silver,
Cooler Master MasterLiquid ML360P Silver Edition ARGB,,"650,1800","8,30",Silver / Black,360
Thermaltake TOUGHLIQUID ARGB,,"500,2000",22.3,Green,240
Cooler Master V8,,"800,1800","17,21",,
ARCTIC Alpine 11,,"900,2000",14,,
NZXT Kraken X60,,"800,2000","21,37",,280
NZXT Kraken X40,,"800,2000","21,37",,140
Cooler Master Seidon 240M,,"600,2400","19,40",,240
Deepcool NEPTWIN V2.0,,1300,26.6,,
Deepcool CAPTAIN 360,,"600,2200","17.6,39.29",,360
ARCTIC Liquid Freezer 240,,"500,1350",,,240
Thermaltake Water 3.0 Riing RGB 240,,"800,1500",26.4,,240
Zalman CNPS10X Optima II,,"800,1500",27,White,
Deepcool GAMERSTORM CAPTAIN 240X WHITE,,"500,1800",32.1,White / Black,240
Scythe Mugen 5 Black RGB Edition,,"300,1200","4,24.9",Black / Silver,
Jonsbo HX6200D,,"700,1800","18.6,29.7",Black,
RAIJINTEK DELOS RBW,39.99,"650,2000",22.95,Black,
Asus ROG Strix LC 360,,"800,2500",37.6,Black,360
ID-COOLING IS-60 EVO ARGB,,"500,2000","13.8,31.2",Black / Silver,
Thermalright Frozen Magic ARGB,,1500,25.6,White,360
Antec KUHLER H2O 950,64.98,,,,120
ID-COOLING IS-30,,"800,3600","17,35.8",,
Cooler Master MasterAir MA610P,,1800,35,Black,
Thermalright MACHO Rev.C,81.34,"600,1500","19,23",Silver / Black,
Inter-Tech ALSEYE MAX 120,,"600,1800","16.5,32.5",Black,120
Silverstone HE02-V2,,,0,Silver,
ID-COOLING SE-207,,"700,1800","18,35.2",Black / White,
ID-COOLING ZOOMFLOW X,,"700,1500","18,26.4",Black,360
MSI MAG CORELIQUID R,,"500,2000","14.3,34.3",Black,120
Cooler Master MasterAir MA824 Stealth 30th Anniversary Edition,,,"0,24.6",Black,
Zalman CNPS10X OPTIMA,,"1000,1700","17,28",,
Phanteks PH-TC12DX,,"600,1800","21.9,27.6",,
Cooler Master DK9-7G52A-0L-GP,31.98,4500,35,,
Deepcool Maelstrom 120T,,"600,1800","17.8,34.1",,120
Deepcool NEPTWIN WHITE,,"900,1500","17.8,30",White,
Enermax Aquafusion 120,,"500,2000","17,32.6",Black,120
upHere CCF150CF,,"600,1800","16.1,27.7",Black,
Sapphire NITRO+ S360-A,,"405,2400","17.9,36.2",Black / Silver,360
Valkyrie VIND SL125,,"800,2150",29,White / Blue,
Enermax Aquafusion 240,,"500,2000","17,32.6",Black,240
Valkyrie DRAGONFANG,,"800,2150",29,Black,360
Enermax ETS-T40F-W,140.01,2200,27,,
be quiet! Dark Rock Pro 2,,"1500,1700","13.5,26.4",,
ARCTIC Liquid Freezer 120,,"500,1350",,,120
Deepcool CAPTAIN 240 EX,,"500,1800","17.6,31.3",,240
ID-COOLING FROSTFLOW+ 280,,"800,1600","16.8,32.6",Black / White,280
ID-COOLING IS-40X V2,,"800,2800","14,35.2",,
Thermalright AXP-100RH,167,"900,2500",,Black / Red,
ARCTIC Alpine AM4 CO,,"100,2700",,Black,
GAMDIAS CHIONE P2,104.98,"800,1800",,Black,360
Jonsbo HX6240,,"700,1800","28,37.6",Black,
RAIJINTEK PALLAS 120 RGB,135,"200,1400",28.43,Black,
ID-COOLING SE-234-ARGB V2,,"500,1500","13.8,30.5",,
ARCTIC Alpine 64 GT,,"500,2000",,,
Deepcool GAMMAXX S40,,"900,1600","17.8,26.1",,
Deepcool LUCIFER K2,,"600,1800","18.2,32.4",,
Cooler Master MasterAir Maker 8,,"600,1800","8,24",,
Cooler Master MasterLiquid Pro 240,,"500,2000","6,30",,240
ARCTIC Freezer 33 PENTA,,"120,1350",22.5,,
ARCTIC Freezer 33 eSports ONE (Black/Green),,"200,1800",24.4,,
Deepcool Castle 280 RGB,,"500,1800","19.8,35.4",Black,280
ARCTIC Alpine 12 Passive,,,0,Black,
Deepcool GAMERSTORM CAPTAIN 240PRO V2,,"500,1800",30,Black,240
MSI CORE FROZR S,,"500,1800","17.2,33.6",Black / Red,
ARCTIC Liquid Freezer II 420 RGB,,"200,1900",22.5,Black,420
ID-COOLING DK-03 RAINBOW,,"500,1800","14.2,25.6",,
FSP Group Windale 4,29.99,"600,1600",32,Black / Silver,
Zalman CNPS9500A-LED,45.48,"1350,2600","18,27.5",,
SilenX EFZ-92HA2,21.82,2400,"8,24",,
Silverstone IceGem 360,199.01,"600,2200","7.3,36.6",Black,360
Enermax Liqtech II 240,,"500,2300","14,28",Black,240
Inter-Tech ALSEYE X120,,1600,35.6,Gray / Black,120
Thermalright Frozen Magic EX,,1850,29.6,Black,120
Corsair H70,,"1600,2000","26,31.5",,120
Thermaltake Water 2.0 Pro,,"1200,2000","10,27.36",,120
ARCTIC Alpine 64 PLUS,,"600,2000",,,
ARCTIC Freezer i11,,"500,2000",22.5,,
SilentiumPC Spartan LT HE922,,"800,2000","9.9,21.9",,
Deepcool CAPTAIN 240EX RGB,,"500,1800","17.6,31.3",,240
