name,price,rpm,noise_level,color,size
Deepcool LS520,89.99,"500,2250",32.9,Black,240
Deepcool AG500 BK ARGB,36.98,"300,1850",29.4,Black,
ID-COOLING SE-224-XTS BLACK,29.99,"600,1500",28.9,Black,
Corsair iCUE LINK H150i RGB,249.99,"480,2400",,White,360
Asus ROG STRIX LC II ARGB,144.99,"800,2500",37.6,White / Black,360
MSI MAG CORELIQUID P360,99.99,"500,2000","14.3,34.3",Black,360
Deepcool AG620 BK ARGB,43.98,"300,1850",29.4,Black,
Corsair iCUE H115i RGB ELITE,139.99,"400,1600","19,35.8",Black,280
Vetroo V240,79.98,1800,30.8,Black,240
ARCTIC Freezer 34 eSports DUO,52.3,"200,2100",24.4,White / Gray,
Lian Li Galahad II Trinity Performance,,"2300,3000","32.1,39.9",Black,360
Thermalright Frozen Prism ARGB,60.59,1850,27,Black,360
be quiet! Pure Loop 240,99.9,,"19,39.5",Black,240
MSI MAG CORELIQUID C360,151.95,"500,2000","14.3,34.3",Black,360
Corsair iCUE H170i ELITE CAPELLIX,349.96,2000,"10,37",Black,420
Cooler Master MasterLiquid 240L Core,99.99,"350,1750",27.2,White,240
Corsair H100i RGB PLATINUM,,2400,37,Black / Silver,240
be quiet! Dark Rock Slim,59.9,1500,"11,23.6",Black,
be quiet! Pure Rock LP,49.9,2500,,Black,
Deepcool LE720,131.58,"500,2250",32.9,Black,360
Thermalright Assassin Spirit V2,,1500,25.6,Gray,
Corsair iCUE LINK H170i LCD,339.99,"400,2000",,Black,420
ARCTIC Alpine 17,11.99,"100,2000",,Black / White,
MSI MEG CORELIQUID S360,228.99,,22.7,Black,360
Noctua NH-U14S,79.95,"300,1500","19.2,24.6",,
Asus ROG RYUJIN II,499,"450,2000",29.7,Black,360
Asus ROG Ryujin III,339.99,"600,2200",36.45,White,360
Thermalright Burst Assassin ARGB,22.9,1550,25.6,Black / Silver,
NZXT Kraken X73 RGB,293.88,"500,1500","22,33",White / Black,360
Thermalright AXP90-X47,22.9,2700,22.4,White,
Lian Li GALAHAD AIO 240 RGB UNI FAN SL120 EDITION,233.43,"800,1900",32,White / Silver,240
Corsair iCUE H150i ELITE CAPELLIX,316.99,2400,"10,37",White,360
Cooler Master MasterLiquid ML240L V2 RGB,103.99,"650,1800","8,27",White / Black,240
NZXT Kraken X63 RGB,184.99,"500,1500","22,33",Black,280
Cooler Master MasterLiquid ML360 Illusion,130.19,"650,1800","6,30",Black / Silver,360
Fractal Design Lumen S24 RGB V2,113.98,"500,2000","10,33.2",Black,240
Cooler Master Hyper 212 (2023),38.98,"690,2500",32.8,Black,
be quiet! Dark Rock Elite,99.9,"1500,2000","11,25.8",Black,
be quiet! Pure Loop 2 FX,99.9,,"8,32.3",Black,240
Corsair iCUE H100i RGB PRO XT,199.99,2400,37,Black,240
Asus ROG Ryujin III,309.99,"450,2000",29.7,Black,360
Phanteks GLACIER ONE 360D30,179.99,"250,2000",30.2,Black,360
ARCTIC Alpine 23 CO,13.57,"100,2000",,Black,
Deepcool AK620 DIGITAL WH,87.98,"500,1850",28,White,
NZXT Kraken Z53,239.99,"500,2000","21,36",Black,240
ARCTIC Alpine 17 CO,12.99,"250,2700",,Black,
Enermax Liqmax III 360 ARGB,89.99,"500,1600","14,27",Black,360
Corsair iCUE LINK H100i RGB,169.99,"480,2400",,Black,240
MSI MAG CORELIQUID 240R V2,99.99,"500,2000","14.3,34.3",White,240
be quiet! Shadow Rock 3,49.9,1600,"11.5,24.4",Black,
Vetroo V360,99.99,"800,1800",,White,360
Asus ROG RYUO III 360 ARGB,234.99,2200,36.45,Black,360
ARCTIC Freezer 34 eSports DUO,49.99,"200,2100",24.4,Black / Gray,
Deepcool AK500 WH,35.99,"500,1850","25.9,31.5",White,
NZXT T120,40.48,"500,1800","17.9,30.6",Black,
Corsair iCUE H150i RGB ELITE,164.99,"400,1850","5,28.9",White,360
ID-COOLING DASHFLOW 240 BASIC,59.99,"700,1800","15.2,35.2",White,240
Cooler Master Hyper 212 EVO V2,89.99,"650,1800","8,27",Black / Silver,
EK AIO Basic 360,99.99,"550,2200",33.5,Black,360
Noctua NH-L9a-AM4 chromax.black,54.95,"600,2500","14.8,23.6",Black,
Corsair H100x,,1700,37,Black,240
Noctua NH-D9L chromax.black,74.9,"400,2000","16.3,22.8",Black,
ID-COOLING DASHFLOW 240 BASIC,64.98,"700,1800","15.2,35.2",Black,240
Asus TUF GAMING LC 240 ARGB,119.99,"800,2000",29,Black,240
Scythe Mugen 5 Rev. B,,"300,1200","4,24.9",Silver / Black,
Deepcool LS520 WH,109.6,"500,2250",32.9,White,240
Corsair H60 (2018),,1700,28.3,Black,120
Thermalright Assassin Spirit 120 EVO,22.9,2000,28.2,Black,
Thermalright Silver Soul 135,34.9,1850,29.6,Black,
Thermaltake Gravity i3,19.98,"1200,3500",36.5,Silver / Black,
Cooler Master MasterLiquid ML360L ARGB V2,99.99,"650,1800","8,27",White,360
Vetroo V240,74.98,1800,30.8,White / Gray,240
Thermalright Assassin King SE ARGB,19.29,1550,25.6,Silver / Gray,
EK AIO Elite 360 D-RGB,139.99,"550,2200",31.6,Black,360
Thermalright Assassin X Refined SE ARGB V2,20.59,1550,25.6,Black / Silver,
Asus ROG STRIX LC II ARGB,104.99,"800,2500",37.6,Black,240
Lian Li GALAHAD AIO 240 RGB,127,"800,1900",,Black / Silver,240
Thermalright Peerless Assassin 120 White ARGB,39.29,1550,25.6,White,
Thermalright Aqua Elite V3,48.9,1500,25.6,Black,240
Phanteks GLACIER ONE 360D30,179.99,"250,2000",30.2,White,360
Thermalright Assassin X 120 V2,18.59,1500,25.6,Black / Silver,
Lian Li GALAHAD AIO 360 RGB UNI FAN SL120 EDITION,,"800,1900",32,Black / Silver,360
Corsair H150,,1500,"18,26.5",Black,360
NZXT Kraken M22,82.99,"500,2000","21,36",Black,120
be quiet! Silent Loop 2 360,217.7,2200,"17.7,39.8",Black,360
MSI MAG CORELIQUID C240,89.99,"500,2000","14.3,34.3",Black,240
ARCTIC Freezer 34 eSports DUO,45.99,"200,2100",24.4,Red / Black,
Thermalright Silver Soul 110,29.9,2500,23,Black,
Deepcool AK500,39.99,"500,1850",,Black / Silver,
Deepcool LE520,167,"500,2250",32.9,Black,240
ID-COOLING PINKFLOW,,"900,2000","16.3,33.5",White / Pink,240
Cooler Master X Dream I117,,1800,,,
NZXT Kraken Z63 RGB,395,"500,1500","22,33",White / Black,280
ENDORFY Fera 5,,"250,1800",,Black / Silver,
Corsair iCUE H170i ELITE CAPELLIX XT,239.99,"500,1700","5,33.8",Black,420
Cooler Master MasterLiquid Lite 240,,"650,2000","6,30",,240
Corsair H100i RGB PLATINUM SE,338.84,2200,36,White,240
Noctua NH-P1,109.9,,0,Silver,
Deepcool GAMMAXX GT A-RGB,,"500,1650",27.8,Black / Silver,
Cooler Master I30,13.3,2600,28,Black / Silver,
NZXT Kraken 280 RGB,179.99,"500,1500",34.48,Black,280
ARCTIC Freezer 7 X CO,26.99,"300,2000",,Black / Silver,
Cooler Master MasterLiquid ML240 Illusion,109.99,"650,1800","6,30",Black,240
EK EK-Nucleus AIO CR360 Lux D-RGB,163.99,"550,2300",36,White,360
Thermalright Frost Spirit 140 V3 BLACK,45.59,1500,25.6,Black,
Lian Li Galahad II Trinity SL-INF,149.84,2100,29,Black,240
ID-COOLING FROSTFLOW X 240 LITE,,"700,1800","15.2,35.2",Black,240
Corsair H100,,1500,"18,26.5",Black,240
Thermaltake TH240 ARGB Sync,155.85,1500,28.2,White,240
ID-COOLING FROZN A410 BLACK,29.99,"500,2000",29.85,Black,
Thermalright AXP90-X47,,2700,22.4,Orange / Brown,
NZXT Kraken X53 RGB,,"500,1500","22,33",White / Black,240
Noctua NH-L12 Ghost S1,54.93,"300,1600","13.1,17.6",Silver / Beige,
Thermalright Frozen Magic Scenic V2,45.99,2150,28.1,White,240
Deepcool ASSASSIN IV,99.99,"500,1700","22.6,29.3",White,
Deepcool AK400 DIGITAL WH,54.99,"500,1850",28,White,
NZXT Kraken Z53 RGB,328.66,"500,1500","22,33",Black,240
StarTech FAN775E,14.99,2600,22.2,,
Thermalright Aqua Elite V3,68.9,1500,25.6,White,360
Corsair iCUE H100i ELITE CAPELLIX,,2400,"10,37",White,240
Thermalright AXP90-X53,21.9,2700,22.4,Gray,
Thermaltake TH360 ARGB Sync,115.99,1500,28.2,Black,360
be quiet! Pure Loop 2 FX,109.9,,"10.8,32.8",Black,280
Cooler Master Hyper 622 Halo,64.98,"650,2050",27,Black,
be quiet! Pure Rock Slim,33.99,2000,"13.1,25.4",,
ARCTIC Freezer A35 A-RGB,41.99,"200,1700",,Black,
Lian Li Galahad II Trinity SL-INF,139.79,2100,29,White,240
Thermalright Frozen Edge,44.9,2150,28.1,Black,240
Gigabyte AORUS WATERFORCE 360,159.99,"950,2150","16.9,31",Black,360
Thermalright Frozen Edge,61.9,2150,28.1,Black,360
Corsair iCUE LINK H100i RGB,199.49,"480,2400",,White,240
Thermalright AXP120-X67,33.9,1800,26.1,Black,
Cooler Master MasterLiquid ML280 Mirror,167.49,"650,1400","10,27",Black,280
Corsair H115i RGB PLATINUM,199,2000,37,Black / Silver,280
Deepcool LE720,,"500,2250",32.9,White,360
Noctua NH-C14S,79.95,"300,1500","19.2,24.6",,
Deepcool AK500 DIGITAL,,"500,1850",28,Black,
IceGiant ProSiphon Elite,243,"300,2300",,Black,
ID-COOLING IS-47-XT,31.49,"800,2800",32.5,Black,
NZXT Kraken X73 RGB,389.95,"500,1500","22,33",Black,360
Cooler Master MasterAir MA824 Stealth,99.99,,"0,24.6",Black,
NZXT Kraken X62,,"500,1800","21,38",,280
Lian Li GALAHAD AIO 360 RGB,209,"800,1900",,Black / Silver,360
NZXT Kraken Elite 280 RGB,219.99,"500,1500",34.48,Black,280
NZXT T120,34.99,"500,1800","17.9,30.6",White,
Corsair iCUE H150i RGB PRO XT,,2400,37,Black / White,360
Thermaltake TH240 V2 ARGB Sync,89.99,"500,2000",25.8,Black,240
Deepcool AG620 WH ARGB,55.98,"300,1850",29.4,White,
Thermalright AXP120-X67,32.9,1800,26.1,Gray,
Cooler Master MasterLiquid Lite 120,,"650,2000","6,30",,120
Asus ROG STRIX LC II,139.99,"800,2500",37.6,Black,360
NZXT Kraken X63 RGB,184.99,"500,1500","22,33",White / Black,280
Deepcool AG200,,"500,3050",30.5,Black / Silver,
Thermalright Assassin X 90 SE ARGB,18.89,2200,23.85,Black / Silver,
Cooler Master MasterLiquid ML240R RGB,89.99,"650,2000","6,30",,240
Deepcool AK500S DIGITAL,52.98,"500,1850",28,Black,
Thermalright Aqua Elite V3,65.9,1500,25.6,Black,360
CRYORIG M9a,47.52,"600,2200",26.4,,
Deepcool AS500 PLUS WH,49.99,"500,1200",31.5,White / Silver,
MSI MAG CORELIQUID E360,160.56,,,Black,360
Asus TUF Gaming LC II ARGB,149.99,"800,2000",29,Black,360
Montech METAL DT24 PREMIUM,64,"800,1950",26,Black / Silver,
Enermax Liqmax III 240 ARGB,63.99,"500,1600","14,27",Black,240
Enermax LIQMAX III 240 ARGB,57.49,"500,1600","14,27",White / Black,240
ID-COOLING AURAFLOW X,62.99,"700,1800","18,35.2",Black,240
Cooler Master Hyper 620S,54.99,"350,1750",27.2,Black / Silver,
Iceberg Thermal IceFLOE T95,14.99,"1000,2200",32.3,Teal / Silver,
Scythe FUMA 2,,"300,1200","2.7,24.9",Black / Silver,
Corsair H100i PRO RGB,293.18,2400,37,Black,240
ARCTIC Freezer i35 A-RGB,42.5,"200,1700",,Black,
ARCTIC Freezer A35,33.72,"200,1800",,Black / White,
Thermalright Frost Commander 140 BLACK,43.49,1800,30.2,Black,
Thermaltake TH240 ARGB Sync,,1500,28.2,Black,240
Asus ROG STRIX LC II,94.99,"800,2500",37.6,Black,240
Lian Li GALAHAD AIO 240 RGB,169.98,"800,1900",,White / Silver,240
Thermalright Assassin King SE,19.89,1550,25.6,Silver / Gray,
Cooler Master Hyper 622 Halo,64.98,"650,2050",27,White,
ID-COOLING ZOOMFLOW X,,"700,1500","18,26.4",White,240
Corsair iCUE H115i ELITE CAPELLIX,229.9,2000,"10,36",Black,280
Thermalright SI-100 WHITE ARGB,27.59,2000,27.7,White,
Thermalright Frozen Edge,43.9,2150,28.1,White,240
Cooler Master MasterLiquid PL360 FLUX,139.99,,32,Black,360
ID-COOLING FROZN A620 BLACK,49.99,"500,2000",29.85,Black,
ID-COOLING SE-225-XT,,"700,1800","15.2,35.2",Black,
Fractal Design Lumen S36 RGB V2,134.98,"500,2000","10,33.2",Black,360
ID-COOLING IS-55 ARGB,36.99,"500,2000",31.2,Black,
Thermalright Silver Soul 110,28.9,2500,23,White,
Scythe Mugen 5 Black Edition Rev.C,52.99,"300,1500","4,28.6",Black,
Corsair H60,,2000,30.85,,120
Thermalright Frozen Edge,55.9,2150,28.1,White,360
Enermax LIQMAX III 360 ARGB,89.99,"500,1600","14,27",White / Black,360
Deepcool LE500,,"500,2250",,Black,240
EK AIO Basic 240,,"550,2200",33.5,Black,240
MSI MAG CORELIQUID M240,92.2,"500,2000","14.3,34.3",Black,240
Thermalright Burst Assassin,22.9,1550,25.6,Gray / Black,
EVGA CLC 280,,"600,2200","16,39.5",,280
Phanteks Glacier One 360MPH,129.99,"500,2200","18,34.2",Black,360
ENDORFY Fera 5 Dual Fan,,"250,1800",,Black / Silver,
Gigabyte AORUS WATERFORCE X,156.02,"800,2500","7.9,37.6",Black,240
Deepcool GAMMAXX GTE V2,,"500,1650",27.8,Black / White,
Corsair iCUE LINK H170i RGB,269.99,"400,2000",,Black,420
Thermaltake TH420 ARGB Sync,189.98,"500,1800",34.7,Black,420
Inter-Tech ALSEYE W90,35.99,3000,36.7,White / Black,
ARCTIC Alpine AM4,10.22,"100,2000",,Black / White,
ENDORFY Fera 5 ARGB,,"250,1800",,Black / Silver,
