name,price,core_count,core_clock,boost_clock,tdp,graphics,smt
Intel Core i7-9700K,,8,3.6,4.9,95,Intel UHD Graphics 630,false
AMD FX-8300,120,8,3.3,,95,,false
Intel Celeron G3900,39.95,2,2.8,,51,Intel HD Graphics 510,false
Intel Core i7-6700,394.98,4,3.4,4,65,Intel HD Graphics 530,true
AMD Threadripper 2970WX,1150,24,3,4.2,250,,true
Intel Pentium G4560,,2,3.5,,54,Intel HD Graphics 610,true
Intel Core i7-6700K,,4,4,4.2,91,Intel HD Graphics 530,true
Intel Core 2 Duo E8500,,2,3.16,,65,,false
Intel Core i3-4170,,2,3.7,,54,Intel HD Graphics 4400,true
Intel Core i7-5960X,,8,3,3.5,140,,true
AMD FX-6100,72.8,6,3.3,,95,,false
Intel Core i9-10920X,796.87,12,3.5,4.8,165,,true
Intel Pentium Gold G5400,72.95,2,3.7,,58,Intel UHD Graphics 610,true
Intel Core i3-2120,170,2,3.3,,65,Intel HD Graphics 2000,true
Intel Core i5-13500T,,14,1.6,4.6,35,Intel UHD Graphics 770,true
Intel Core i7-4770S,117.98,4,3.1,,65,Intel HD Graphics 4600,true
Intel Core i9-7920X,586.2,12,2.9,4.4,140,,true
Intel Xeon E5-2699 V3,,18,2.3,3.6,145,,true
AMD Ryzen 5 2600X,,6,3.6,4.2,95,,true
Intel Core i7-9700F,199,8,3,4.7,65,,false
Intel Core i7-9700,299.8,8,3,4.7,65,Intel HD Graphics 630,false
Intel Core i7-7740X,511.06,4,4.3,4.5,112,,true
Intel Core i5-3450,69,4,3.1,,77,Intel HD Graphics 2500,false
Intel Core i3-530,45,2,2.93,,73,Intel HD Graphics,true
Intel Core i7-3930K,285,6,3.2,,130,,true
Intel Core i5-11600,199.99,6,2.8,4.8,65,Intel UHD Graphics 750,true
AMD Ryzen 9 3900,,12,3.1,,65,,true
Intel Core i7-4820K,120,4,3.7,3.9,130,,true
Intel Celeron G4930,63.2,2,3.2,,54,Intel UHD Graphics 610,false
Intel Core i5-7500T,89,4,2.7,3.3,35,Intel HD Graphics 630,false
AMD A10-9700E,211,4,3,3.5,35,Radeon R7 (on-die),false
Intel Core 2 Quad Q9550,52.55,4,2.83,,95,,false
Intel Pentium G2020,34.99,2,2.9,,55,Intel HD Graphics,false
AMD FX-8370,,8,4,4.3,125,,false
Intel Core i9-9980XE,1504.51,18,3,4.4,165,,true
AMD Ryzen 5 3400G,,4,3.7,4.2,65,Radeon Vega 11,true
AMD FX-4300,,4,3.8,,95,,false
Intel Xeon E5-2630 V3,175.44,8,2.4,3.2,85,,true
AMD 5350,120,4,2.05,,25,Radeon HD 8400,false
AMD FX-6120,58.53,6,3.5,4.1,95,,false
Intel Core i7-13700T,,16,1.4,4.9,35,,true
Intel Core i5-7400T,63.5,4,2.4,3,35,Intel HD Graphics 630,false
Intel Core i9-10940X,820,14,3.3,4.8,165,,true
Intel Core i5-9600K,,6,3.7,4.6,95,Intel UHD Graphics 630,false
Intel Core i7-3770S,195,4,3.1,,65,Intel HD Graphics 4000,true
Intel Core i7-980X Extreme Edition,153.64,6,3.33,,130,,true
Intel Celeron G4900T,59.95,2,1.8,,35,Intel UHD Graphics 610,false
Intel Core i3-7100,72.8,2,3.9,,51,Intel HD Graphics 630,true
Intel Core i5-6402P,74.02,4,2.8,3.4,65,Intel HD Graphics 510,false
AMD Ryzen 7 1700X,,8,3.4,3.8,95,,true
